Frozen Representation Baseline GREC Evaluation
==============================================
Feature file: cache/features/stage5/refcoco_aux/siglip2.pt
Checkpoint: checkpoints/stage5_5/siglip2_10pct_seed0_hierarchical/selected.pt
Representation: {'name': 'siglip2', 'model_ids': {'siglip2': 'google/siglip2-base-patch16-224'}, 'candidate_feature_dim': 768, 'text_feature_dim': 768, 'component_normalization': {'siglip2_image': 'l2', 'siglip2_text': 'l2'}, 'fusion': 'none', 'similarity_source': 'normalized SigLIP 2 image/text embeddings', 'encoder_parameters': {'siglip2': {'total': 375187970, 'trainable': 0}}}
Device: cuda
Selection policy: cardinality-threshold
Membership threshold: 0.7
Count logit bias: [1.0, 0.0, 0.0, 1.5]
Overlap metric: giou
Match threshold: 0.5
Prediction score threshold: None

[released GREC metrics]
F1_score: 0.549751
T_acc: 0.975263
N_acc: 0.000000

[diagnostics]
num_samples: 10834
mean_precision: 0.557704
mean_recall: 0.566088
mean_f1: 0.560427
exact_set_accuracy: 0.549751
cardinality_accuracy: 0.948311
count_class_accuracy: 0.948311
count_class_evaluated: 10834
micro_precision: 0.563798
micro_recall: 0.566088
micro_f1: 0.564941
total_tp: 6133
total_fp: 4745
total_fn: 4701
no_target_total: 0
no_target_accuracy: 0.000000
false_grounding_rate: 0.000000
single_target_total: 10834
single_target_localization_accuracy: 0.566088
single_target_exact_accuracy: 0.549751
multi_target_total: 0
multi_target_mean_f1: 0.000000
multi_target_exact_accuracy: 0.000000

[no-target]
num_samples: 0
mean_precision: 0.000000
mean_recall: 0.000000
mean_f1: 0.000000
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 0
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 0
total_fn: 0

[single-target]
num_samples: 10834
mean_precision: 0.557704
mean_recall: 0.566088
mean_f1: 0.560427
exact_set_accuracy: 0.549751
cardinality_accuracy: 0.948311
count_class_accuracy: 0.948311
count_class_evaluated: 10834
micro_precision: 0.563798
micro_recall: 0.566088
micro_f1: 0.564941
total_tp: 6133
total_fp: 4745
total_fn: 4701

[multi-target]
num_samples: 0
mean_precision: 0.000000
mean_recall: 0.000000
mean_f1: 0.000000
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 0
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 0
total_fn: 0

[target-count 0]
num_samples: 0
mean_precision: 0.000000
mean_recall: 0.000000
mean_f1: 0.000000
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 0
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 0
total_fn: 0

[target-count 1]
num_samples: 10834
mean_precision: 0.557704
mean_recall: 0.566088
mean_f1: 0.560427
exact_set_accuracy: 0.549751
cardinality_accuracy: 0.948311
count_class_accuracy: 0.948311
count_class_evaluated: 10834
micro_precision: 0.563798
micro_recall: 0.566088
micro_f1: 0.564941
total_tp: 6133
total_fp: 4745
total_fn: 4701

[target-count 2]
num_samples: 0
mean_precision: 0.000000
mean_recall: 0.000000
mean_f1: 0.000000
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 0
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 0
total_fn: 0

[target-count 3+]
num_samples: 0
mean_precision: 0.000000
mean_recall: 0.000000
mean_f1: 0.000000
exact_set_accuracy: 0.000000
cardinality_accuracy: 0.000000
count_class_accuracy: 0.000000
count_class_evaluated: 0
micro_precision: 0.000000
micro_recall: 0.000000
micro_f1: 0.000000
total_tp: 0
total_fp: 0
total_fn: 0
