epoch,total_loss,membership_loss,count_loss,count_accuracy,val_total_loss,val_membership_loss,val_count_loss,val_count_accuracy,learning_rate
1,0.35877878833115473,0.25685896855365514,1.0191981789830467,0.6961880194898251,,,,,0.0001
2,0.2697966062824444,0.20348936215426025,0.6630724266440522,0.8391611732110442,,,,,9.98458666866564e-05
3,0.23595674000691125,0.19076132377515473,0.4519541579256589,0.8913728862138148,,,,,9.938441702975689e-05
4,0.2130308799795131,0.18397568424574065,0.290551954050557,0.9200821629884398,,,,,9.861849601988383e-05
5,0.20158185991719743,0.17957851392634905,0.22003345962945173,0.9355593770899016,,,,,9.755282581475767e-05
6,0.19332114948838697,0.17532735293672547,0.17993796465994408,0.9419604471195185,,,,,9.619397662556432e-05
7,0.18671931366820474,0.17119337466449397,0.15525939048484025,0.9491258240183433,,,,,9.455032620941837e-05
8,0.1804110827985939,0.16669151940329363,0.13719563152642125,0.9551447406133563,,,,,9.26320082177046e-05
9,0.17299784837464863,0.16175924301833652,0.11238605404359694,0.9597305818286042,,,,,9.045084971874737e-05
10,0.16776584917569987,0.15771919262620476,0.10046656444039524,0.9655106525269895,,,,,8.802029828000154e-05
11,0.16261004109807214,0.1538490362631235,0.08761004927911856,0.968042419031241,,,,,8.535533905932737e-05
12,0.15772640978588442,0.150145592332581,0.07580817376071339,0.972437183529187,,,,,8.247240241650918e-05
13,0.1528956340754899,0.1465520016202,0.06343632749750466,0.9766886404891564,,,,,7.938926261462365e-05
14,0.14914077989884475,0.14308143314356744,0.060593467807336564,0.9776440240756664,,,,,7.612492823579742e-05
15,0.145024521651304,0.13984963002013104,0.05174891726298305,0.9804146364765454,,,,,7.269952498697731e-05
16,0.14164114197436908,0.1368862982706592,0.04754843510287132,0.9823731728288908,,,,,6.913417161825447e-05
17,0.1381308847026291,0.13409388407152295,0.040370004545512685,0.9855737078436992,,,,,6.545084971874736e-05
18,0.1349771437016738,0.13109483252675141,0.03882311149174655,0.9853348619470718,,,,,6.167226819279526e-05
19,0.1317293027426015,0.1285062911697362,0.03223011601107722,0.9881532435272762,,,,,5.7821723252011525e-05
20,0.12919085587353424,0.1261404385619215,0.03050417391941189,0.9889653195758097,,,,,5.392295478639223e-05
21,0.1269520574123069,0.12401918783745475,0.02932869458573612,0.9891086271137862,,,,,4.999999999999998e-05
22,0.12418111407168561,0.12166392323712719,0.025171906502819846,0.9912104710041082,,,,,4.607704521360774e-05
23,0.12170891142691846,0.11939585033821618,0.02313061245455338,0.9923091621285947,,,,,4.217827674798845e-05
24,0.12018166280719855,0.11793748947990262,0.022441732155602356,0.9925957772045476,,,,,3.832773180720472e-05
25,0.1180649594649113,0.11615848747828839,0.019064719840364626,0.9934556224324066,,,,,3.4549150281252616e-05
26,0.11625030708253765,0.11441679305995879,0.018335138644163567,0.9939810834049871,,,,,3.08658283817455e-05
27,0.11441669361353536,0.11283617814766297,0.015805152879722565,0.9951275437087991,,,,,2.730047501302265e-05
28,0.11308034777561574,0.11152145608204694,0.01558891780981495,0.9952708512467756,,,,,2.387507176420255e-05
29,0.11177161816705819,0.11035573525791856,0.01415882832299072,0.9962262348332855,,,,,2.061073738537634e-05
30,0.11040284792556569,0.10910125732424722,0.01301590711780666,0.9964173115505875,,,,,1.7527597583490816e-05
31,0.10974921550688206,0.10846629831130244,0.01282917285774521,0.9963217731919366,,,,,1.464466094067262e-05
32,0.10881678828741995,0.10764913578976233,0.011676524773413728,0.996847234164517,,,,,1.1979701719998447e-05
33,0.10802979913529596,0.10684332121215213,0.011864780504155998,0.99713384924047,,,,,9.549150281252628e-06
34,0.10742474294820943,0.10625483615271761,0.011699069333139063,0.997324925957772,,,,,7.367991782295387e-06
35,0.10713843461522926,0.10606161110566523,0.010768235682271515,0.9971816184197956,,,,,5.449673790581608e-06
36,0.10677169503244958,0.10566776004597919,0.011039351487147188,0.9973726951370976,,,,,3.806023374435661e-06
37,0.10640484867082736,0.10538689613205617,0.010179524891510689,0.997324925957772,,,,,2.447174185242322e-06
38,0.10616345200668072,0.10515197609134215,0.01011475696859984,0.9976593102130505,,,,,1.3815039801161715e-06
39,0.10583617636088463,0.10485546863815373,0.009807076034648997,0.9978503869303526,,,,,6.155829702431167e-07
40,0.105981824355645,0.10499565789567328,0.009861663086641268,0.9976593102130505,,,,,1.5413331334360174e-07
