split,representation,fraction_percent,F1_mean,F1_sample_sd,mean_set_F1_mean,mean_set_F1_sample_sd,T_acc_mean,T_acc_sample_sd,N_acc_mean,N_acc_sample_sd
testA,CLIP,1,0.24961805555555555,0.01845965398460874,0.4177920284454868,0.002258976059335509,0.6646104483007954,0.025380240819024236,0.7972122302158273,0.016686744167278354
testA,CLIP,5,0.32675347222222223,0.00475824318240149,0.48162571524336123,0.0027942656024633307,0.8961044830079538,0.007341516185214573,0.6331684652278178,0.011691368037192843
testA,CLIP,10,0.3604513888888889,0.0027507364333803335,0.5204834282689477,0.004542819821472195,0.9085773680404917,0.0178509300302875,0.6544514388489209,0.03088066514695279
testA,CLIP+DINOv2,1,0.24020833333333333,0.009676713304730309,0.40939885072260984,0.004152814015248234,0.6243899132321041,0.015998261649038562,0.8187200239808153,0.012431015761237355
testA,CLIP+DINOv2,5,0.2911458333333333,0.02229635124063651,0.4645292089418133,0.011100263883978686,0.839298626174982,0.02822923470757787,0.6620953237410072,0.022236746657150912
testA,CLIP+DINOv2,10,0.3437673611111111,0.010253981343419916,0.5087182696129895,0.004051410792126958,0.9024087129428778,0.0160958129289449,0.6316696642685852,0.024174525820814204
testA,SigLIP 2,1,0.2768576388888889,0.029541597491495573,0.4498577223486829,0.00536357302209472,0.6496520245842372,0.015380625206762633,0.8576888489208633,0.017223336083898252
testA,SigLIP 2,5,0.41510416666666666,0.012189614310904633,0.5739832039544316,0.009564065637498403,0.9423355025307303,0.01955761990937445,0.6689898081534772,0.02779902063993595
testA,SigLIP 2,10,0.4625,0.01072954590753701,0.616207371560421,0.007852722913267766,0.9410249457700651,0.02409087037636067,0.6884742206235012,0.04344345098645847
testB,CLIP,1,0.265558529954969,0.012484287957206146,0.36813510988687037,0.004590884515808237,0.5702370500438981,0.029740539214802894,0.8187459875882731,0.025207882426924438
testB,CLIP,5,0.3039490340119114,0.007199617305294515,0.412860565793137,0.0019002924571444148,0.8367866549604916,0.026555010342981192,0.6627434196447678,0.02746902785948517
testB,CLIP,10,0.3430243416547345,0.00412059534168536,0.4614011642017196,0.007067187401727325,0.848083113842552,0.02194281444134091,0.7011912404593765,0.020901910964480522
testB,CLIP+DINOv2,1,0.25277552968519784,0.014506097530986965,0.3607841808926685,0.005805412938468031,0.568920105355575,0.033782419343659637,0.7932092160639133,0.04092311446683502
testB,CLIP+DINOv2,5,0.2839029654070431,0.010938153157176705,0.4041565507141313,0.011184399263400199,0.7720515071700322,0.04532878072181581,0.6844996076752978,0.02265757791530323
testB,CLIP+DINOv2,10,0.32883023096557307,0.00652013906781153,0.45105357152462316,0.0031811687398078776,0.8484635645302897,0.020961817792578705,0.6599614808474213,0.01691375252746887
testB,SigLIP 2,1,0.2749175122953371,0.010768293335697041,0.3863945250926102,0.005322787815150971,0.61609599063506,0.012133797678952288,0.8280191169127613,0.012275075374574484
testB,SigLIP 2,5,0.3722218763618253,0.00580307574493814,0.49280068757832945,0.0026020667682398416,0.9047995317529997,0.018990472969882138,0.6896354946857836,0.030934966786707135
testB,SigLIP 2,10,0.41799995849675237,0.0043513141744650815,0.5360723026559945,0.0031761152752085337,0.9040093649400058,0.020228684494022146,0.7035451886725158,0.03748910062425903
